make,model,ModelTypeText,model_variant,color,carType,Ccm,city,Co2EmissionText,ConsumptionRatingText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Km,Properties,Seats,TransmissionTypeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,Other,Limousine,3199,Zuzwil,275 g/km,null,4,Allrad,1,1999,Benzin,31900,"\"Ab MFK\"",5,Automat,11.5,l/100km
Lamborghini,"",Espada GT 400 Serie 3,Espada GT 400 Serie 3,Other,Coupé,3929,Zuzwil,null,null,2,Hinterradantrieb,4,1973,Benzin,48000,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Ferrari,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,Blue,Coupé,3586,Zuzwil,440 g/km,G,2,Hinterradantrieb,2,2004,Benzin,42600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,19.3,l/100km
Alfa Romeo,8C,8C,null,Silver,Cabriolet,4691,Porrentruy,null,null,2,Hinterradantrieb,4,2011,Benzin,23900,"\"Ab MFK\"",0,Automatik-Getriebe,null,""
BMW,2002,2002 Turbo,Turbo,Silver,Limousine,1977,Zuzwil,null,null,2,Hinterradantrieb,3,1974,Benzin,97100,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Datsun,"",SPORTS 2000,SPORTS 2000,Silver,Cabriolet,2000,Zuzwil,null,null,2,null,7,1969,Benzin,23300,"\"Ab MFK\"",2,null,null,""
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,322 g/km,null,4,Allrad,1,1997,Benzin,66300,"\"Ab MFK\"",5,Automat,13.5,l/100km
Lamborghini,GALLARDO,Gallardo 5.0 V10 Coupé SE,Gallardo 5.0 V10 Coupé SE,Silver,Coupé,4961,Zuzwil,400 g/km,G,2,Allrad,1,2006,Benzin,20000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,17.0,l/100km
MERCEDES-BENZ,280,280 3.5 V8 Cabrio,3.5 V8 Cabrio,Silver,Cabriolet,3499,Sursee,null,null,2,null,2,1971,Benzin,500,null,4,null,null,""
MERCEDES-BENZ,SL 320,SL 320,SL 320,Silver,Cabriolet,3199,Zuzwil,297 g/km,null,2,Hinterradantrieb,7,1996,Benzin,156800,"\"Ab MFK\"",2,Automat,12.5,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Silver,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,4,2004,Benzin,91600,"\"Ab MFK\"",5,Automat,15.7,l/100km
BMW,745,745i,745i,Silver,Limousine,4398,Zuzwil,276 g/km,G,4,Hinterradantrieb,12,2004,Benzin,27600,"\"Ab MFK\"",5,Automat sequentiell,11.4,l/100km
Porsche,911,911 Carrera 2 RS,911 Carrera 2 RS,Silver,Coupé,3598,Zuzwil,null,null,2,Hinterradantrieb,1,1992,Benzin,123000,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Porsche,911,911 Carrera 4 Cabrio TECHART,911 Carrera 4 Cabrio TECHART,Blue,Cabriolet,3387,Zuzwil,304 g/km,null,2,Allrad,5,1999,Benzin,80400,"\"Ab MFK\"",4,Automat,12.0,l/100km
MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,Silver,Limousine,5439,Zuzwil,310 g/km,G,4,Hinterradantrieb,11,2002,Benzin,53800,"\"Ab MFK\"",5,Automat sequentiell,12.9,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Silver,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,12,2002,Benzin,47400,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
Lamborghini,DIABLO,Diablo 5.7 VT,Diablo 5.7 VT,Silver,Coupé,5707,Zuzwil,null,null,2,Allrad,8,1993,Benzin,14990,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,"",300SL Roadster,300SL Roadster,Silver,Cabriolet,2995,Sursee,null,null,2,null,3,1960,Benzin,1000,null,2,null,null,""
Alfa Romeo,8C,8C Coupé,Coupé,Silver,Coupé,4691,Zuzwil,null,null,2,Hinterradantrieb,3,2008,null,37000,null,0,Automatik-Getriebe,null,""
MERCEDES-BENZ,ML 400,ML 400 CDI,ML 400 CDI,Silver,SUV / Geländewagen,3996,Zuzwil,288 g/km,G,5,Allrad,11,2002,Diesel,87800,"\"Ab MFK\"",5,Automat,10.9,l/100km
VW,GOLF,Golf 2.0 TFSI GTI,Golf 2.0 TFSI GTI,Silver,Limousine,1984,Zuzwil,194 g/km,G,5,Vorderradantrieb,2,2007,Benzin,87000,"\"Ab MFK\"",5,Schaltgetriebe manuell,8.1,l/100km
VW,JETTA,Jetta 2.0 TDI Comfort,Jetta 2.0 TDI Comfort,Silver,Limousine,1968,Zuzwil,154 g/km,E,4,Vorderradantrieb,3,2009,Diesel,33500,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,5.8,l/100km
MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,Silver,Limousine,2497,Zuzwil,null,null,4,Hinterradantrieb,1,1989,Benzin,198000,"\"Ab MFK\"",5,Automat,null,""
Wiesmann,COUPE,GT MF5,GT MF5,Silver,Coupé,4999,Zuzwil,null,G,2,Hinterradantrieb,7,2008,Benzin,34600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,14.1,l/100km
Porsche,911,911 Turbo Cabrio,911 Turbo Cabrio,Blue,Cabriolet,3800,Zuzwil,270 g/km,G,2,Allrad,12,2009,Benzin,52000,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Automatisiertes Schaltgetriebe,11.5,l/100km
BMW,Z4,Z4 M Coupé,Z4 M Coupé,Silver,Coupé,3246,Zuzwil,292 g/km,G,2,Hinterradantrieb,8,2011,Benzin,10900,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe manuell,12.1,l/100km
Renault,Alpine A110,Alpine A110 1300S,1300S,Silver,Coupé,1296,Zuzwil,null,null,2,Hinterradantrieb,9,1969,Benzin,9999,"\"Ab MFK\"",0,Schaltgetriebe,null,""
Maserati,COUPÉ GT,Coupé GT,Coupé GT,Silver,Coupé,4244,Zuzwil,400 g/km,null,2,Hinterradantrieb,6,2002,Benzin,62300,"\"Ab MFK\"",4,Automatik-Getriebe,17.5,l/100km
Renault,ALPINE,ALPINE 1600 VF,1600 VF,Silver,Coupé,1605,Zuzwil,null,null,2,Hinterradantrieb,8,1976,Benzin,42940,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,288 g/km,G,4,Allrad,8,2002,Benzin,35100,"\"Ab MFK\"",5,Automat sequentiell,12.0,l/100km
Chevrolet,CORVETTE,Corvette Z06,Corvette Z06,Silver,Coupé,7011,Zuzwil,350 g/km,G,2,Hinterradantrieb,3,2010,Benzin,24000,"\"Ab MFK\"",2,Schaltgetriebe manuell,14.7,l/100km
Toyota,COROLLA,Corolla 1600 GTi TC16,Corolla 1600 GTi TC16,Silver,Coupé,1587,Zuzwil,null,null,3,Hinterradantrieb,12,1986,Benzin,101400,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,Silver,Coupé,5439,Zuzwil,281 g/km,G,2,Hinterradantrieb,6,2000,Benzin,79500,"\"Ab MFK\"",4,Automat,11.7,l/100km
Audi,S7,S7 Sportback 4.0 TFSI V8 quattro,S7 Sportback 4.0 TFSI V8 quattro,Silver,Limousine,3993,Zuzwil,225 g/km,G,5,Allrad,3,2014,Benzin,3600,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Automatisiertes Schaltgetriebe,9.6,l/100km
Bentley,ARNAGE,Arnage T,Arnage T,Silver,Limousine,6761,Basel,495 g/km,G,4,Hinterradantrieb,3,2006,Benzin,15600,null,5,Automat,20.6,l/100km
Audi,RS4,RS4 4.2 V8 quattro,RS4 4.2 V8 quattro,Blue,Limousine,4163,Zuzwil,324 g/km,G,4,Allrad,5,2006,Benzin,108200,"\"Ab MFK\"",5,Schaltgetriebe manuell,13.5,l/100km
MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,Silver,Limousine,5439,Zuzwil,310 g/km,G,4,Hinterradantrieb,10,2002,Benzin,52400,"\"Ab MFK\"",5,Automat sequentiell,12.9,l/100km
Porsche,911,911 Turbo,911 Turbo,Silver,Coupé,3600,Zuzwil,309 g/km,G,2,Allrad,5,2001,Benzin,60800,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.9,l/100km
BMW,645,645i,645i,Silver,Coupé,4398,Zuzwil,283 g/km,null,2,Hinterradantrieb,1,2004,Benzin,79100,"\"Ab MFK\"",4,Automatik-Getriebe,11.7,l/100km
Porsche,911,911 GT3,911 GT3,Silver,Coupé,3600,Zuzwil,320 g/km,null,2,Hinterradantrieb,1,2000,Benzin,77000,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.9,l/100km
MERCEDES-BENZ,E 420,E 420 Avantgarde,E 420 Avantgarde,Silver,Limousine,4196,Zuzwil,326 g/km,null,4,Hinterradantrieb,11,1996,Benzin,87800,"\"Ab MFK\"",5,Automat,14.3,l/100km
Porsche,911,911 Carrera 4 S,911 Carrera 4 S,Silver,Coupé,3596,Zuzwil,277 g/km,G,2,Allrad,3,2002,Benzin,68100,"\"Ab MFK\"",4,Schaltgetriebe manuell,11.4,l/100km
Aston Martin,DB9,DB9 Volante,DB9 Volante,Silver,Cabriolet,5935,Zuzwil,333 g/km,G,2,Hinterradantrieb,5,2013,Benzin,17000,"\"Ab MFK\"",4,Automat sequentiell,14.3,l/100km
Triumph,Dolomite,Dolomite Sprint,Sprint,Silver,Limousine,1997,Zuzwil,null,null,4,Hinterradantrieb,7,1977,Benzin,12800,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,SL 500,SL 500,SL 500,Silver,Cabriolet,4973,Zuzwil,340 g/km,null,2,Hinterradantrieb,6,1996,Benzin,74400,"\"Ab MFK\"",0,Automat,14.3,l/100km
BMW,M6,M6,M6,Silver,Cabriolet,4999,Zuzwil,366 g/km,G,2,Hinterradantrieb,2,2007,Benzin,32000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,15.2,l/100km
Audi,RS4,RS4 Avant quattro,RS4 Avant quattro,Blue,Kombi,2671,Zuzwil,288 g/km,G,5,Allrad,7,2001,Benzin,57500,"\"Ab MFK\"",5,Schaltgetriebe manuell,12.0,l/100km
Porsche,911,911 GT2,911 GT2,Silver,Coupé,3600,Zuzwil,309 g/km,G,2,Hinterradantrieb,11,2001,Benzin,49900,null,4,Schaltgetriebe manuell,12.9,l/100km
Renault,ALPINE,Alpine A310 V6,Alpine A310 V6,Silver,Coupé,2664,Zuzwil,null,null,2,Hinterradantrieb,3,1983,Benzin,69000,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
Toyota,CELICA,CELICA 1600 GT DOHC,1600 GT DOHC,Silver,Coupé,1588,Zuzwil,null,null,2,Hinterradantrieb,10,1981,Benzin,79300,"\"Ab MFK\"",5,Schaltgetriebe,null,""
VW,PHAETON,Phaeton 6.0 W12 4Motion,Phaeton 6.0 W12 4Motion,Silver,Limousine,5998,Zuzwil,374 g/km,G,4,Allrad,11,2002,Benzin,31300,"\"Ab MFK\"",4,Automat sequentiell,15.6,l/100km
Ferrari,F430,F430 Scuderia,F430 Scuderia,Silver,Coupé,4308,Zuzwil,360 g/km,G,2,Hinterradantrieb,3,2008,Benzin,19999,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,15.7,l/100km
MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,Silver,Limousine,2497,Zuzwil,null,null,4,Hinterradantrieb,4,1992,Benzin,152000,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
BMW,750,750i,750i,Silver,Limousine,5379,Zuzwil,327 g/km,null,4,Hinterradantrieb,3,1997,Benzin,69600,"\"Ab MFK\"",5,Automat sequentiell,14.2,l/100km
Porsche,911,911 Carrera S,911 Carrera S,Silver,Coupé,3824,Zuzwil,277 g/km,G,2,Hinterradantrieb,8,2005,Benzin,39400,"\"Ab MFK\"",4,Schaltgetriebe manuell,11.5,l/100km
Ferrari,MONDIAL,Mondial 3.4 T,Mondial 3.4 T,Silver,Coupé,3402,Zuzwil,null,null,2,Hinterradantrieb,5,1992,Benzin,16500,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
BMW,X5,X5 4.4i,X5 4.4i,Silver,SUV / Geländewagen,4398,Zuzwil,335 g/km,G,5,Allrad,3,2002,Benzin,60100,"\"Ab MFK\"",5,Automat sequentiell,13.9,l/100km
Ferrari,F12,F12 Berlinetta,F12 Berlinetta,Blue,Coupé,6262,Zuzwil,350 g/km,G,3,Hinterradantrieb,1,2013,Benzin,12000,"\"Direkt-/Parallelimport\"",2,Automatisiertes Schaltgetriebe,15.0,l/100km
Ford,ESCORT,ESCORT RS 2000,RS 2000,Silver,Coupé,1993,Zuzwil,null,null,3,Hinterradantrieb,3,1978,Benzin,96600,null,5,Schaltgetriebe,null,""
MERCEDES-BENZ,SL 320,SL 320,SL 320,Silver,Cabriolet,3199,Zuzwil,274 g/km,G,2,Hinterradantrieb,8,1999,Benzin,83600,"\"Ab MFK\"",2,Automat,11.5,l/100km
Porsche,911,911 Carrera 4S,911 Carrera 4S,Silver,Coupé,3824,Zuzwil,285 g/km,G,2,Allrad,2,2006,Benzin,101200,"\"Ab MFK\"",4,Schaltgetriebe manuell,11.8,l/100km
Toyota,LAND CRUISER,LAND CRUISER FJ 40,FJ 40,Silver,SUV / Geländewagen,4228,Zuzwil,null,null,3,Allrad,2,1982,Benzin,5000,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,SL 500,SL 500,SL 500,Silver,Cabriolet,4973,Zuzwil,328 g/km,null,2,Hinterradantrieb,10,1996,Benzin,27600,"\"Ab MFK\"",0,Automat,14.3,l/100km
Renault,Alpine A110,Alpine A110 1600S,1600S,Silver,Coupé,1564,Zuzwil,null,null,2,Hinterradantrieb,3,1970,Benzin,57700,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Datsun,280,280 ZX,ZX,Silver,Coupé,2753,Zuzwil,null,null,3,Hinterradantrieb,3,1981,Benzin,50300,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Porsche,911,911 GT2,911 GT2,Silver,Coupé,3600,Zuzwil,309 g/km,G,2,Hinterradantrieb,9,2001,Benzin,53400,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.9,l/100km
Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,Silver,Coupé,6192,Porrentruy,500 g/km,G,2,Allrad,2,2003,Benzin,9000,"\"Ab MFK\"",2,Schaltgetriebe manuell,21.5,l/100km
MERCEDES-BENZ,ML 350,ML 350 Inspiration,ML 350 Inspiration,Silver,SUV / Geländewagen,3724,Zuzwil,305 g/km,G,5,Allrad,10,2003,Benzin,126300,"\"Ab MFK\"",5,Automat,12.7,l/100km
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Blue,Limousine,4172,Zuzwil,288 g/km,G,4,Allrad,11,2003,Benzin,26300,"\"Ab MFK\"",5,Automat sequentiell,12.0,l/100km
Porsche,911,911 Turbo,911 Turbo,Silver,Coupé,3600,Zuzwil,309 g/km,null,2,Allrad,3,2003,Benzin,94500,"\"Ab MFK\"",4,Automatik-Getriebe,12.9,l/100km
BMW,M3,M3 CSL,M3 CSL,Silver,Coupé,3246,Zuzwil,287 g/km,G,2,Hinterradantrieb,11,2003,Benzin,35000,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,11.9,l/100km
Mitsubishi,LANCER,LANCER EVO V,EVO V,Silver,Limousine,1997,Zuzwil,null,null,4,Allrad,1,1999,Benzin,120800,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,"",6.7 BRABUS,6.7 BRABUS,Silver,Coupé,6700,Zuzwil,null,null,2,Hinterradantrieb,2,2000,Benzin,75300,"\"Ab MFK\"",4,Automatik-Getriebe,null,""
Porsche,911,911 Carrera 4,911 Carrera 4,Silver,Coupé,3387,Zuzwil,295 g/km,G,2,Allrad,11,2000,Benzin,38200,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.0,l/100km
Audi,TT,TT Roadster 1.8 T,TT Roadster 1.8 T,Silver,Cabriolet,1781,Zuzwil,199 g/km,G,2,Vorderradantrieb,3,2005,Benzin,49900,"\"Ab MFK\"",2,Schaltgetriebe manuell,8.3,l/100km
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,314 g/km,G,4,Allrad,10,1999,Benzin,101800,"\"Ab MFK\"",5,Automat sequentiell,13.1,l/100km
Renault,Alpine A110,Alpine A110 1300,1300,Silver,Coupé,1288,Zuzwil,null,null,2,null,0,1973,Benzin,75700,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,Silver,Limousine,4244,Zuzwil,370 g/km,G,4,Hinterradantrieb,10,2005,Benzin,33500,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
MERCEDES-BENZ,SL 500,SL 500,SL 500,Silver,Cabriolet,4971,Zuzwil,null,null,2,Hinterradantrieb,1,1995,Benzin,96600,"\"Ab MFK\"",0,Automat,null,""
Bentley,ARNAGE,Arnage Red Label,Arnage Red Label,Blue,Limousine,6761,Zuzwil,456 g/km,G,4,Hinterradantrieb,5,2000,Benzin,19300,"\"Ab MFK\"",5,Automat,19.2,l/100km
Bentley,CONTINENTAL,Continental GT Speed 6.0,Continental GT Speed 6.0,Silver,Coupé,5998,St. Gallen,338 g/km,G,2,Allrad,9,2015,Benzin,5000,"\"Ab MFK\"",4,Automat,14.5,l/100km
Jaguar,"",D-Type XKD525,D-Type XKD525,Purple,Coupé,3442,Zuzwil,null,null,2,Hinterradantrieb,7,1956,Benzin,5300,null,2,Schaltgetriebe,null,""
Chevrolet,CORVETTE,CORVETTE C2,C2,Purple,Coupé,5351,Zuzwil,null,null,2,Hinterradantrieb,6,1967,Benzin,21300,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,Purple,Kleinwagen,1397,Zuzwil,null,null,3,Vorderradantrieb,3,1982,Benzin,77900,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,Purple,Limousine,4973,Zuzwil,315 g/km,null,4,Hinterradantrieb,3,1997,Benzin,67400,"\"Ab MFK\"",5,Automat,13.5,l/100km
Lamborghini,DIABLO,Diablo 5.7 SV,Diablo 5.7 SV,Purple,Coupé,5707,Porrentruy,575 g/km,null,2,Hinterradantrieb,1,1999,Benzin,44500,null,2,Schaltgetriebe manuell,24.9,l/100km
MERCEDES-BENZ,S 500,S 500,S 500,Purple,Limousine,4966,Zuzwil,320 g/km,G,4,Hinterradantrieb,10,1999,Benzin,32000,"\"Ab MFK\"",5,Automat,13.4,l/100km
Maserati,COUPÉ GT,Coupé GT,Coupé GT,White,Coupé,4244,Zuzwil,400 g/km,null,2,Hinterradantrieb,7,2002,Benzin,95300,"\"Ab MFK\"",4,Automatik-Getriebe,17.5,l/100km
Aston Martin,V8 Vantage,V8 Vantage 4.7,V8 Vantage 4.7,White,Cabriolet,4735,Zuzwil,312 g/km,G,2,Hinterradantrieb,7,2010,Benzin,9000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.2,l/100km
MERCEDES-BENZ,ML 400,ML 400 CDI,ML 400 CDI,White,SUV / Geländewagen,3996,Zuzwil,288 g/km,G,5,Allrad,2,2002,Diesel,148300,"\"Ab MFK\"",5,Automat,10.9,l/100km
Audi,RS6,RS6 Avant 4.0 TFSI V8 qu,RS6 Avant 4.0 TFSI V8 qu,Blue,Kombi,3993,Zuzwil,229 g/km,G,5,Allrad,4,2014,Benzin,100,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,9.8,l/100km
Triumph,Dolomite,Dolomite Sprint,Sprint,White,Limousine,1997,Zuzwil,null,null,4,Hinterradantrieb,6,1977,Benzin,10800,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
Porsche,CAYENNE,Cayenne S,Cayenne S,White,SUV / Geländewagen,4511,Zuzwil,380 g/km,null,5,Allrad,3,2003,Benzin,115000,"\"Ab MFK\"",5,Automatik-Getriebe,15.8,l/100km
Maserati,SPYDER GT,Spyder GT,Spyder GT,White,Cabriolet,4244,Zuzwil,430 g/km,G,2,Hinterradantrieb,5,2003,Benzin,78300,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,18.6,l/100km
Audi,A4,A4 3.0 V6,A4 3.0 V6,White,Limousine,2976,Zuzwil,233 g/km,null,4,Vorderradantrieb,2,2004,Benzin,95300,"\"Ab MFK\"",5,Automatik-Getriebe,9.7,l/100km
