ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1.0,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,Other,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,"\"Ab MFK\"",5,Automat
10.0,Lamborghini,"",Espada GT 400 Serie 3,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3,Other,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,schwarz,48000,"\"Ab MFK\"",4,Schaltgetriebe
100.0,Ferrari,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,Blue,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,2,2004,Benzin,400,beige,42600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
1000.0,Alfa Romeo,8C,8C,null,ALFA ROMEO 8C,Silver,Cabriolet,4691,Porrentruy,null,Occasion,null,null,2,Hinterradantrieb,4,2011,Benzin,450,schwarz,23900,"\"Ab MFK\"",0,Automatik-Getriebe
1001.0,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,Silver,Limousine,1977,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,170,schwarz,97100,"\"Ab MFK\"",4,Schaltgetriebe
1002.0,Datsun,"",SPORTS 2000,SPORTS 2000,DATSUN SPORTS 2000,Silver,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,schwarz,23300,"\"Ab MFK\"",2,null
1003.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,schwarz,66300,"\"Ab MFK\"",5,Automat
1004.0,Lamborghini,GALLARDO,Gallardo 5.0 V10 Coupé SE,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI Gallardo 5.0 V10 Coupé SE,Silver,Coupé,4961,Zuzwil,400 g/km,Occasion,G,17.0 l/100km,2,Allrad,1,2006,Benzin,520,schwarz,20000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
1005.0,MERCEDES-BENZ,280,280 3.5 V8 Cabrio,3.5 V8 Cabrio,MERCEDES-BENZ 280 3.5 V8 Cabrio,Silver,Cabriolet,3499,Sursee,null,Occasion,null,null,2,null,2,1971,Benzin,200,beige,500,null,4,null
1006.0,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,Silver,Cabriolet,3199,Zuzwil,297 g/km,Occasion,null,12.5 l/100km,2,Hinterradantrieb,7,1996,Benzin,231,schwarz,156800,"\"Ab MFK\"",2,Automat
